Model,Accuracy,Precision,Recall,F1 Score
logistic_regression,0.883,0.8704061895551257,0.9,0.8849557522123894
naive_bayes,0.8584,0.8478260869565217,0.8736,0.8605200945626478
linear_svm,0.8746,0.8717745136959111,0.8784,0.8750747160789002
random_forest,0.8512,0.854317998385795,0.8468,0.8505423865006027
